tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt32539759,Napoleons Eagle,Napoleons Eagle,2017,27,Western,6.4,11,4,producer,producer,1,8,Jack Chertok,1906,1995,"producer,miscellaneous"
tt28081485,Macbeth,Macbeth,2010,160,"Drama,Musical",7.5,1188,6,writer,by,39,3,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt33681517,Richard II,Richard II,2012,141,"Drama,History,War",8.1,1703,7,writer,"play ""Richard II""",1,1,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt80568006,Henry IV Part 1,Henry IV Part 1,2012,115,"Drama,History,War",8.2,1424,6,writer,play,1,2,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt70721484,Henry IV Part 2,Henry IV Part 2,2012,121,"Drama,History,War",7.9,1083,8,writer,play,1,3,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt52026794,Thomas Adès The Tempest,Thomas Adès The Tempest,2012,142,Musical,7.8,22,7,writer,after the play by,7,3,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt81365862,Henry VI Part 1,Henry VI Part 1,2016,112,"Drama,History,War",7.7,578,9,writer,play,2,1,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt47623569,Verdi Otello,Verdi Otello,2015,180,Musical,7.8,18,7,writer,based on the play by,10,2,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt81950083,Gounod Roméo et Juliette,Gounod Roméo et Juliette,2017,210,Musical,8.1,25,8,writer,based on the play by,11,5,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt54068621,New York City Ballet George Balanchines The Nutcracker,New York City Ballet George Balanchines The Nutcracker,2011,100,"Music,Musical",8.2,14,8,writer,"adaptation ""Histoire d'un casse-noisette""",36,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt55464993,Friends and Enemies,Friends and Enemies,2014,59,"Adventure,Drama",7.6,771,7,writer,based on the characters of,1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt60491183,The Good Soldier,The Good Soldier,2014,55,"Adventure,Drama",7.8,517,7,writer,based on the characters of,1,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt14298459,Sleight of Hand,Sleight of Hand,2014,55,"Adventure,Drama",7.6,607,7,writer,based on the characters of,1,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt31641461,The Homecoming,The Homecoming,2014,54,"Adventure,Drama",7.6,478,7,writer,based on the characters of,1,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt56505681,Commodities,Commodities,2014,55,"Adventure,Drama",7.7,557,7,writer,based on the characters of,1,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt76675918,A Rebellious Woman,A Rebellious Woman,2014,55,"Adventure,Drama",8.1,478,7,writer,based on the characters of,1,7,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt50714155,The Exiles,The Exiles,2014,55,"Adventure,Drama",7.9,465,7,writer,based on the characters of,1,6,Alexandre Dumas,1802,1870,"writer,soundtrack"
