tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt99961929,Dick Tracy and Flattop,Dick Tracy and Flattop,1950,24,"Crime,Drama",5.8,19,6,writer,story editor,1,15,Robert Leslie Bellem,1902,1968,"writer,miscellaneous"
tt38147041,Dick Tracy and BBEyes Part 2,Dick Tracy and BBEyes Part 2,1951,30,"Crime,Drama",7.1,13,6,writer,written by,2,7,Robert Leslie Bellem,1902,1968,"writer,miscellaneous"
tt98171314,Murder Rides the Night Train,Murder Rides the Night Train,1951,30,"Crime,Drama,Mystery",5.1,17,7,writer,teleplay,1,14,Robert Leslie Bellem,1902,1968,"writer,miscellaneous"
tt26766026,The Case of the Perpetual Pellet,The Case of the Perpetual Pellet,1951,30,"Crime,Drama",7.1,12,6,writer,teleplay,1,13,Robert C. Dennis,1915,1983,writer
tt74530720,Beauty for Hire,Beauty for Hire,1952,30,"Crime,Drama",7.4,9,6,writer,teleplay by,3,6,Dean Riesner,1918,2002,"writer,actor,miscellaneous"
tt12489728,Shoot the Works,Shoot the Works,1952,25,"Action,Adventure,Crime",6.2,22,7,producer,producer,1,7,Herbert L. Strock,1918,2005,"director,producer,editor"
tt32534126,Alpine Assignment,Alpine Assignment,1952,30,Adventure,7.2,7,6,writer,writer,1,5,Fenton Earnshaw,1912,1970,"writer,producer,miscellaneous"
tt81234933,Grey Market,Grey Market,1952,30,Adventure,6.7,7,8,writer,teleplay,1,2,Fenton Earnshaw,1912,1970,"writer,producer,miscellaneous"
tt87390605,Counterfeit Plates,Counterfeit Plates,1952,30,Adventure,6.8,7,6,writer,story,1,7,Fenton Earnshaw,1912,1970,"writer,producer,miscellaneous"
tt87241132,101 Blonde,101 Blonde,1952,30,"Crime,Drama",7.0,19,7,writer,screenplay,2,9,Robert C. Dennis,1915,1983,writer
tt16838892,Minuet for Murders,Minuet for Murders,1952,30,"Crime,Drama",7.0,10,7,writer,writer,2,6,Robert C. Dennis,1915,1983,writer
tt69596752,Beulah Goes Gardening,Beulah Goes Gardening,1952,25,Comedy,6.5,13,7,producer,producer,3,4,Tom McKnight,1901,1963,"producer,miscellaneous"
tt67978050,The New Arrival,The New Arrival,1952,25,Comedy,7.1,10,8,producer,producer,2,11,Tom McKnight,1901,1963,"producer,miscellaneous"
tt91174809,The Waltz,The Waltz,1952,25,Comedy,7.2,13,7,producer,producer,3,3,Tom McKnight,1901,1963,"producer,miscellaneous"
tt42066059,Second Wedding,Second Wedding,1952,24,Comedy,6.6,9,7,producer,producer,2,8,Tom McKnight,1901,1963,"producer,miscellaneous"
tt95147218,Macao Gold,Macao Gold,1952,25,"Action,Adventure,Drama",6.0,17,7,cinematographer,director of photography,1,1,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt46543103,Trial Run,Trial Run,1953,30,Drama,7.0,30,8,writer,writer,1,1,Dwight Taylor,1903,1986,"writer,producer,miscellaneous"
tt41144223,Knave of Hearts,Knave of Hearts,1953,30,"Comedy,Drama",6.2,17,7,writer,original story,2,47,Robert Leslie Bellem,1902,1968,"writer,miscellaneous"
tt31551696,Storm Swept,Storm Swept,1953,30,"Comedy,Drama",7.7,9,6,writer,writer,3,14,Robert Leslie Bellem,1902,1968,"writer,miscellaneous"
tt62724522,The Motorcycle Kid,The Motorcycle Kid,1953,26,"Crime,Drama",6.1,7,6,writer,original screenplay,2,25,Robert Leslie Bellem,1902,1968,"writer,miscellaneous"
tt46891296,Baited Trap,Baited Trap,1953,30,Drama,8.8,6,8,producer,producer,1,4,Herbert L. Strock,1918,2005,"director,producer,editor"
tt45877589,The Ledge,The Ledge,1953,30,"Comedy,Drama",7.9,12,6,writer,original story,2,43,Robert J. Shaw,1917,1996,"writer,miscellaneous"
tt17403519,Rileys Gift from the Boss,Rileys Gift from the Boss,1953,30,Comedy,6.4,15,7,producer,producer,1,2,Tom McKnight,1901,1963,"producer,miscellaneous"
tt10794689,Detectives Holiday,Detectives Holiday,1954,30,"Comedy,Crime,Drama",7.8,27,6,writer,screenplay,2,24,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt72480990,Masquerade,Masquerade,1954,30,"Comedy,Crime,Drama",6.8,23,6,writer,screenplay,2,29,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt85184889,The Doctor and the Countess,The Doctor and the Countess,1954,30,"Comedy,Crime,Drama",6.2,17,6,writer,screenplay,2,31,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt73983283,The Gun,The Gun,1954,30,"Comedy,Crime,Drama",7.5,37,6,writer,story,2,21,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt76071880,Little War at San Dede,Little War at San Dede,1954,30,"Comedy,Drama",7.3,8,6,writer,teleplay & story,3,39,Montgomery Pittman,1917,1962,"writer,director,actor"
tt70422127,Village in the City,Village in the City,1954,30,"Comedy,Crime,Drama",7.1,19,6,writer,story,2,30,Montgomery Pittman,1917,1962,"writer,director,actor"
tt43348173,No Clothes for the Party,No Clothes for the Party,1954,30,Comedy,5.6,7,8,producer,producer,1,1,Herbert L. Strock,1918,2005,"director,producer,editor"
tt58909316,The Psychophonic Nurse,The Psychophonic Nurse,1954,30,Drama,7.2,8,7,writer,teleplay,1,19,Fenton Earnshaw,1912,1970,"writer,producer,miscellaneous"
tt35357497,Geneva,Geneva,1954,30,Adventure,7.2,8,7,writer,creator,1,13,Robert C. Dennis,1915,1983,writer
tt19042505,The Las Vegas Story,The Las Vegas Story,1954,30,Adventure,6.6,28,6,writer,original teleplay by,1,15,Robert C. Dennis,1915,1983,writer
tt49218209,Account Closed,Account Closed,1954,30,Drama,8.4,8,6,writer,teleplay,1,16,James Gunn,1920,1966,writer
tt72218942,Loyalty,Loyalty,1954,30,"Crime,Drama",7.6,10,8,cinematographer,director of photography,2,5,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt16106440,Destiny,Destiny,1954,30,"Crime,Drama",7.3,9,10,cinematographer,director of photography,2,9,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt69950375,Escape,Escape,1954,30,"Crime,Drama",5.8,9,9,cinematographer,director of photography,1,20,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt83240506,The DoGooder,The DoGooder,1954,30,"Crime,Drama",7.9,10,10,cinematographer,director of photography,2,6,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt90366316,Lost Cause,Lost Cause,1954,30,"Crime,Drama",7.9,9,9,cinematographer,director of photography,1,3,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt83318294,Return of the Dead,Return of the Dead,1954,30,"Crime,Drama",7.8,10,9,cinematographer,director of photography,2,1,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt81540339,Youth Crime Ring,Youth Crime Ring,1954,30,"Crime,Drama",7.8,8,9,cinematographer,director of photography,1,16,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt36790225,Road to Nowhere,Road to Nowhere,1954,30,"Crime,Drama",8.0,10,8,cinematographer,director of photography,2,2,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt25865111,Lisa,Lisa,1954,30,"Crime,Drama",8.0,7,10,cinematographer,director of photography,1,22,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt14619118,Baby for Sale,Baby for Sale,1954,30,"Crime,Drama",7.7,9,9,cinematographer,director of photography,1,23,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt53912740,Two Brothers,Two Brothers,1954,30,"Crime,Drama",7.0,8,10,cinematographer,director of photography,1,8,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt46326657,The Hijacked Truck,The Hijacked Truck,1954,30,"Crime,Drama",8.6,7,10,cinematographer,director of photography,2,12,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt50884038,Circumstantial Evidence,Circumstantial Evidence,1954,24,"Crime,Drama",8.1,9,10,cinematographer,director of photography,2,13,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt84378312,Socrates,Socrates,1954,30,"Crime,Drama",7.2,7,10,cinematographer,director of photography,2,16,Jack MacKenzie,1892,1979,"cinematographer,camera_department,actor"
tt81289543,Into the Night,Into the Night,1955,30,"Comedy,Drama",7.3,24,7,writer,story,3,32,Charles Hoffman,1911,1972,"producer,script_department,writer"
tt43710070,The Valencia Cake,The Valencia Cake,1955,26,Western,7.1,25,8,cinematographer,director of photography,4,2,Carl Berger,1901,1983,"cinematographer,camera_department,music_department"
tt66417542,A Chain of Hearts,A Chain of Hearts,1955,30,Drama,7.8,9,6,writer,screenplay,4,6,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt44588558,Here Comes the Suit,Here Comes the Suit,1955,30,"Comedy,Crime,Drama",6.4,17,6,writer,screenplay,4,7,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt36393666,Night at Lark Cottage,Night at Lark Cottage,1955,30,"Comedy,Crime,Drama",6.1,17,6,writer,screenplay,3,26,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt82418548,The Firing Squad,The Firing Squad,1955,30,"Comedy,Crime,Drama",6.6,16,6,writer,screenplay,4,1,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt72847670,The Wild Bunch,The Wild Bunch,1955,30,"Comedy,Crime,Drama",7.4,31,6,writer,screenplay,3,21,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt90172010,The Back of Beyond,The Back of Beyond,1955,30,Drama,7.1,10,6,writer,screenplay,1,9,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt77828188,The Lie,The Lie,1955,30,Drama,7.7,37,6,writer,screenplay,1,3,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt67929296,The True Confessions of Henry Pell,The True Confessions of Henry Pell,1955,30,Drama,6.6,17,6,writer,screenplay,1,22,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt16450896,Total Recall,Total Recall,1955,30,Drama,8.3,10,6,writer,screenplay,1,8,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt89789009,The Long Count,The Long Count,1955,25,Drama,7.5,11,6,writer,screenplay,1,9,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt83510865,The Traveling Salesman,The Traveling Salesman,1955,30,Drama,7.5,10,6,writer,screenplay,1,20,Frederick Brady,1912,1961,"writer,actor,soundtrack"
tt76001103,Border Showdown,Border Showdown,1955,40,Western,7.6,119,7,writer,teleplay,1,4,Dean Riesner,1918,2002,"writer,actor,miscellaneous"
tt16460822,Escape from Camp Diablo,Escape from Camp Diablo,1955,30,Adventure,7.4,7,6,writer,story,1,25,Fenton Earnshaw,1912,1970,"writer,producer,miscellaneous"
tt36998612,Return of the Hawk,Return of the Hawk,1955,30,Adventure,7.1,9,6,writer,story,1,8,Fenton Earnshaw,1912,1970,"writer,producer,miscellaneous"
