tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt56030326,Gold Dust Charlie,Gold Dust Charlie,1950,30,"Family,Western",8.1,21,7,cinematographer,director of photography,1,2,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt17405337,Gun Powder Range,Gun Powder Range,1950,30,"Family,Western",8.0,12,8,cinematographer,director of photography,1,15,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt90889268,Head for Texas,Head for Texas,1950,30,"Family,Western",8.4,21,7,cinematographer,director of photography,1,1,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt46086763,Hot Lead,Hot Lead,1950,30,"Family,Western",8.1,12,9,cinematographer,director of photography,1,19,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt28636559,SixShooter Sweepstakes,SixShooter Sweepstakes,1950,30,"Family,Western",7.6,13,8,cinematographer,director of photography,1,11,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt58365475,TNT,TNT,1950,30,"Family,Western",8.0,14,9,cinematographer,director of photography,1,24,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt22631187,The Black Rider,The Black Rider,1950,30,"Family,Western",7.3,15,8,cinematographer,director of photography,1,14,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt46346885,The Breakup,The Breakup,1950,30,"Family,Western",7.6,13,8,cinematographer,director of photography,1,16,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt86832491,The Devils Brand,The Devils Brand,1950,30,"Family,Western",7.7,14,8,cinematographer,director of photography,1,10,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt45454697,The Doodle Bug,The Doodle Bug,1950,30,"Family,Western",8.0,16,7,cinematographer,director of photography,1,4,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt37687606,The Double Switch,The Double Switch,1950,30,"Family,Western",8.1,18,7,cinematographer,director of photography,1,6,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt12109669,The Fight at Peaceful Mesa,The Fight at Peaceful Mesa,1950,30,"Family,Western",7.7,12,8,cinematographer,director of photography,1,18,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt16477324,The Gray Dude,The Gray Dude,1950,30,"Family,Western",7.8,12,9,cinematographer,director of photography,1,20,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt82553599,The Killer Horse,The Killer Horse,1950,30,"Family,Western",7.8,11,9,cinematographer,director of photography,1,21,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt12140292,The Lost Chance,The Lost Chance,1950,30,"Family,Western",7.5,15,8,cinematographer,director of photography,1,13,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt16156231,The Peacemaker,The Peacemaker,1950,30,"Family,Western",6.9,13,9,cinematographer,director of photography,1,22,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt67752843,The Poisoned Waterhole,The Poisoned Waterhole,1950,30,"Family,Western",7.8,12,8,cinematographer,director of photography,1,12,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt52722627,The Posse,The Posse,1950,30,"Family,Western",7.5,15,8,cinematographer,director of photography,1,9,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt62954452,The Silver Arrow,The Silver Arrow,1950,30,"Family,Western",7.9,19,7,cinematographer,director of photography,1,3,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt52724182,The Star Toter,The Star Toter,1950,30,"Family,Western",7.8,23,7,cinematographer,director of photography,1,5,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt77206258,Twisted Trails,Twisted Trails,1950,30,"Family,Western",8.2,14,8,cinematographer,director of photography,1,17,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt97820183,Blackwater Valley Feud,Blackwater Valley Feud,1950,30,"Family,Western",8.0,22,6,writer,screenplay,1,7,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt39538274,Doublecross Valley,Doublecross Valley,1950,30,"Family,Western",7.4,19,7,writer,writer,1,8,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt30471115,The Fight at Peaceful Mesa,The Fight at Peaceful Mesa,1950,30,"Family,Western",7.7,12,6,writer,written by,1,18,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt63705896,The Lost Chance,The Lost Chance,1950,30,"Family,Western",7.5,15,6,writer,screenplay,1,13,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt26513288,The Peacemaker,The Peacemaker,1950,30,"Family,Western",6.9,13,6,writer,screenplay,1,22,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt35797294,Spanish Gold,Spanish Gold,1950,23,Western,8.2,45,8,writer,screenplay,1,38,Milton Raison,1903,1982,writer
tt51759184,The Alien Smuggler Story,The Alien Smuggler Story,1950,26,Adventure,6.1,37,9,cinematographer,director of photography,1,1,Jack Greenhalgh,1904,1971,"cinematographer,camera_department"
tt86054043,Heir to the Lazy L,Heir to the Lazy L,1951,30,"Family,Western",8.3,8,9,cinematographer,director of photography,2,13,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt45038040,Killers Trail,Killers Trail,1951,30,"Family,Western",7.7,8,9,cinematographer,director of photography,2,4,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt98710834,Revenge Trail,Revenge Trail,1951,30,"Family,Western",8.0,8,9,cinematographer,director of photography,2,7,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt12009323,Silver Dollars,Silver Dollars,1951,30,"Family,Western",8.3,9,9,cinematographer,director of photography,2,3,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt48739605,The Bandits of Boulder Bluff,The Bandits of Boulder Bluff,1951,30,"Family,Western",7.7,8,9,cinematographer,director of photography,2,8,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt80672292,The Kid Comes West,The Kid Comes West,1951,30,"Family,Western",7.8,7,9,cinematographer,director of photography,2,10,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt83162891,The Raiders,The Raiders,1951,30,"Family,Western",7.7,12,9,cinematographer,director of photography,1,25,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt72143984,Warning Danger,Warning Danger,1951,30,"Family,Western",8.0,9,9,cinematographer,director of photography,2,6,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt42635276,The Crooked Fork,The Crooked Fork,1951,30,Western,6.0,17,9,cinematographer,director of photography,1,7,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt91046091,Revenge Trail,Revenge Trail,1951,30,"Family,Western",8.0,8,6,writer,screenplay,2,7,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt94195949,The Crooked Fork,The Crooked Fork,1951,30,Western,6.0,17,6,writer,screenplay,1,7,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt39264089,The Knockout,The Knockout,1951,30,"Crime,Drama",7.4,9,6,writer,teleplay,2,17,Arthur E. Orloff,1908,1994,writer
tt89443903,Enemies of the West,Enemies of the West,1951,30,Western,6.6,11,6,writer,teleplay and story,1,7,Eric Taylor,1897,1952,writer
tt10051076,Fury at Red Gulch,Fury at Red Gulch,1951,30,Western,6.4,11,6,writer,story and teleplay,1,12,Eric Taylor,1897,1952,writer
tt17404732,Law of the Six Guns,Law of the Six Guns,1951,30,Western,6.2,13,6,writer,story,1,8,Eric Taylor,1897,1952,writer
tt89838494,The Desperate Sheriff,The Desperate Sheriff,1951,30,Western,6.9,11,7,editor,film editor,1,14,Dwight Caldwell,1902,1981,"editor,editorial_department"
tt52663785,Feud in San Filipe,Feud in San Filipe,1951,30,Western,6.0,12,6,writer,original teleplay,1,21,Milton Raison,1903,1982,writer
tt46069805,Badman of Brisco,Badman of Brisco,1951,30,Western,7.3,16,6,writer,original teleplay,1,19,Milton Raison,1903,1982,writer
tt81101409,The Crooked Fork,The Crooked Fork,1951,30,Western,6.0,17,10,editor,film editor,1,7,Richard G. Wray,1912,1981,"editorial_department,editor"
tt50096139,Badman of Brisco,Badman of Brisco,1951,30,Western,7.3,16,7,cinematographer,director of photography,1,19,Clark Ramsey,1898,1964,"cinematographer,camera_department"
tt50237574,The Desperate Sheriff,The Desperate Sheriff,1951,30,Western,6.9,11,6,writer,story and teleplay,1,14,Luci Ward,1907,1969,writer
tt71621537,The Murango Story,The Murango Story,1951,30,Western,7.0,13,6,writer,teleplay and story,1,5,Luci Ward,1907,1969,writer
tt13844968,The Outlaws of Manzantia,The Outlaws of Manzantia,1951,30,Western,6.4,7,6,writer,story & teleplay,1,13,Luci Ward,1907,1969,writer
tt64206853,The Teton Tornado,The Teton Tornado,1951,30,Western,5.8,9,6,writer,writer,1,18,Luci Ward,1907,1969,writer
tt37276852,The Road to Monterey,The Road to Monterey,1951,30,Western,6.6,13,6,writer,story,1,3,Luci Ward,1907,1969,writer
tt23525840,Hot Lead and Old Lace,Hot Lead and Old Lace,1952,30,"Family,Western",7.6,6,10,cinematographer,director of photography,2,20,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt42569982,Melody Mesa,Melody Mesa,1952,30,"Family,Western",7.3,10,9,cinematographer,director of photography,2,14,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt47765890,Rock River Feud,Rock River Feud,1952,30,"Family,Western",7.9,9,9,cinematographer,director of photography,2,16,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt96533899,Six Gun Romeo,Six Gun Romeo,1952,30,"Family,Western",7.6,6,9,cinematographer,director of photography,2,24,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt47355735,The Lawless Press,The Lawless Press,1952,30,"Family,Western",7.7,8,10,cinematographer,director of photography,2,17,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt10763935,The Ruthless Renegade,The Ruthless Renegade,1952,30,"Family,Western",7.5,9,9,cinematographer,director of photography,2,19,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt73023109,The Sheriff Is a Lady,The Sheriff Is a Lady,1952,30,"Family,Western",7.3,7,9,cinematographer,director of photography,2,25,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt85839721,The Trail of the Witch,The Trail of the Witch,1952,30,"Family,Western",7.5,9,9,cinematographer,director of photography,2,26,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt60664702,The Western Way,The Western Way,1952,30,"Family,Western",7.7,8,9,cinematographer,director of photography,2,18,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt62201741,Trouble at Silver Creek,Trouble at Silver Creek,1952,30,"Family,Western",7.5,7,9,cinematographer,director of photography,2,23,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt35856957,The Blind Trail,The Blind Trail,1952,30,Western,6.4,19,9,cinematographer,director of photography,2,8,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt41523529,How Death Valley Got Its Name,How Death Valley Got Its Name,1952,30,Western,8.3,57,8,cinematographer,director of photography,1,1,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt89436384,Blazeaway,Blazeaway,1952,30,"Family,Western",8.0,7,6,writer,screenplay,2,21,Paul Gangelin,1898,1961,"writer,miscellaneous,script_department"
tt44290449,The Christmas Caper,The Christmas Caper,1952,30,"Crime,Drama",8.1,32,6,writer,teleplay,3,15,Arthur E. Orloff,1908,1994,writer
tt77621269,The Strange Case of James Doyle,The Strange Case of James Doyle,1952,30,"Crime,Drama",8.0,14,6,writer,teleplay,2,47,Arthur E. Orloff,1908,1994,writer
tt81396007,The Front Man,The Front Man,1952,30,"Crime,Drama",8.0,8,6,writer,teleplay,3,8,Arthur E. Orloff,1908,1994,writer
tt59107619,Trouble in Tuscarora,Trouble in Tuscarora,1952,30,Western,6.0,7,6,writer,teleplay,2,9,Barry Shipman,1912,1994,"writer,actor,director"
tt10307029,Broken Spur,Broken Spur,1952,30,Western,7.4,9,6,writer,original teleplay,2,22,Barry Shipman,1912,1994,"writer,actor,director"
tt93530300,Dead Mans Tale,Dead Mans Tale,1952,26,"Comedy,Drama,Mystery",7.2,21,6,writer,written by,1,8,Tom Reed,1901,1961,"writer,actor,producer"
tt30322392,Best Laid Plans,Best Laid Plans,1952,30,Western,7.7,27,10,cinematographer,director of photography,3,16,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt25079845,Delayed Action,Delayed Action,1952,30,Western,8.3,34,9,cinematographer,director of photography,3,9,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt38910013,Desperado at Large,Desperado at Large,1952,23,Western,7.8,42,10,cinematographer,director of photography,3,4,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt98372708,Frame for Two,Frame for Two,1952,23,Western,7.5,31,8,cinematographer,director of photography,3,7,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt51783508,Jebs Gold Mine,Jebs Gold Mine,1952,30,Western,8.1,37,9,cinematographer,director of photography,3,6,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt92746926,Outlaw Underground,Outlaw Underground,1952,23,Western,7.8,37,10,cinematographer,director of photography,3,2,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt90691118,Outlaws Son,Outlaws Son,1952,30,Western,7.3,39,10,cinematographer,director of photography,3,1,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt10897247,Ranger in Danger,Ranger in Danger,1952,23,Western,8.3,33,9,cinematographer,director of photography,3,8,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt81031252,Special Edition,Special Edition,1952,23,Western,7.6,36,10,cinematographer,director of photography,3,3,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt52805397,The Condemned Man,The Condemned Man,1952,30,Western,7.6,32,10,cinematographer,director of photography,3,14,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt45283225,The Map,The Map,1952,23,Western,8.1,33,9,cinematographer,director of photography,3,10,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt79018485,The New Neighbor,The New Neighbor,1952,23,Western,8.0,29,10,cinematographer,director of photography,3,15,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt97147617,Through the Wall,Through the Wall,1952,23,Western,8.1,39,10,cinematographer,director of photography,3,5,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt57289894,Treason at Dry Creek,Treason at Dry Creek,1952,23,Western,7.1,33,9,cinematographer,director of photography,3,13,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt11208693,Trial by Fire,Trial by Fire,1952,30,Western,8.1,33,10,cinematographer,director of photography,3,11,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt92798861,Word of Honor,Word of Honor,1952,30,Western,7.4,31,10,cinematographer,director of photography,3,12,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt56839597,Trail to Old Sonora,Trail to Old Sonora,1952,30,Western,6.2,8,6,writer,story,2,10,Eric Taylor,1897,1952,writer
tt83007402,Haunted Mine of Paradise Valley,Haunted Mine of Paradise Valley,1952,30,"Family,Western",6.6,17,6,writer,writer,1,19,Milton Raison,1903,1982,writer
tt56527102,Mayor of Ghost Town,Mayor of Ghost Town,1952,30,"Family,Western",7.6,19,6,writer,writer,2,6,Milton Raison,1903,1982,writer
tt74039112,The Train Robbery,The Train Robbery,1952,25,"Family,Western",6.9,22,6,writer,writer,1,5,Milton Raison,1903,1982,writer
tt47040533,Hideout,Hideout,1952,30,Western,5.8,7,6,writer,story,2,21,Milton Raison,1903,1982,writer
tt33812685,Broken Spur,Broken Spur,1952,30,Western,7.4,9,7,cinematographer,director of photography,2,22,Clark Ramsey,1898,1964,"cinematographer,camera_department"
tt50428915,Gypsy Wagon,Gypsy Wagon,1953,30,"Family,Western",8.4,6,9,cinematographer,director of photography,3,7,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt17115671,Outlaw Stage,Outlaw Stage,1953,30,"Family,Western",8.0,6,10,cinematographer,director of photography,3,2,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt63986643,Ransom Cross,Ransom Cross,1953,30,"Family,Western",8.4,11,10,cinematographer,director of photography,3,13,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt55910303,Rio Renegades,Rio Renegades,1953,30,"Family,Western",7.3,7,9,cinematographer,director of photography,3,12,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
