tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt75317506,Jane Eyre,Jane Eyre,1949,60,Drama,6.1,45,6,writer,novel,2,14,Charlotte Brontë,1816,1855,writer
tt21589221,Kite High,Kite High,1951,30,"Crime,Drama",6.6,25,6,writer,teleplay by,2,1,Charles Belden,1904,1954,"writer,script_department"
tt51361789,Jane Eyre,Jane Eyre,1952,60,Drama,5.0,9,6,writer,novel,4,45,Charlotte Brontë,1816,1855,writer
tt76798649,The Long Shot,The Long Shot,1952,30,"Crime,Drama",4.8,16,7,writer,teleplay,2,44,Edward E. Seabrook,1899,1968,writer
tt18116898,ComicStrip Tease,ComicStrip Tease,1952,26,"Comedy,Drama,Mystery",7.2,24,8,writer,original characters,1,10,Frances Lockridge,1896,1963,writer
tt88647462,Dead Mans Tale,Dead Mans Tale,1952,26,"Comedy,Drama,Mystery",7.2,21,7,writer,characters,1,8,Frances Lockridge,1896,1963,writer
tt32858251,Nosed Out,Nosed Out,1952,26,"Comedy,Drama,Mystery",6.6,24,7,writer,characters,1,6,Frances Lockridge,1896,1963,writer
tt64780325,Silent Butler,Silent Butler,1952,26,"Comedy,Drama,Mystery",6.4,25,8,writer,characters,1,13,Frances Lockridge,1896,1963,writer
tt47876031,Surprise,Surprise,1952,26,"Comedy,Drama,Mystery",6.2,21,8,writer,characters,1,9,Frances Lockridge,1896,1963,writer
tt34445051,These Latins,These Latins,1952,26,"Comedy,Drama,Mystery",5.8,26,8,writer,characters,1,5,Frances Lockridge,1896,1963,writer
tt62147526,Till Death Do Us Part,Till Death Do Us Part,1952,26,"Comedy,Drama,Mystery",7.0,42,8,writer,characters,1,2,Frances Lockridge,1896,1963,writer
tt30458427,Weekend Murder,Weekend Murder,1952,26,"Comedy,Drama,Mystery",6.9,61,8,writer,based on the original characters created by,1,1,Frances Lockridge,1896,1963,writer
tt10141650,Where Theres a Will,Where Theres a Will,1952,26,"Comedy,Drama,Mystery",7.1,24,7,writer,characters,1,11,Frances Lockridge,1896,1963,writer
tt61797805,A Good Buy,A Good Buy,1952,26,"Comedy,Drama,Mystery",7.0,31,9,writer,characters,1,3,Frances Lockridge,1896,1963,writer
tt74849947,The Nobles,The Nobles,1952,26,"Comedy,Drama,Mystery",6.9,19,7,writer,characters,1,12,Frances Lockridge,1896,1963,writer
tt22231727,ComicStrip Tease,ComicStrip Tease,1952,26,"Comedy,Drama,Mystery",7.2,24,9,writer,original characters,1,10,Richard Lockridge,1898,1982,writer
tt60765918,Dead Mans Tale,Dead Mans Tale,1952,26,"Comedy,Drama,Mystery",7.2,21,8,writer,characters,1,8,Richard Lockridge,1898,1982,writer
tt49768168,Nosed Out,Nosed Out,1952,26,"Comedy,Drama,Mystery",6.6,24,8,writer,characters,1,6,Richard Lockridge,1898,1982,writer
tt30001569,Silent Butler,Silent Butler,1952,26,"Comedy,Drama,Mystery",6.4,25,9,writer,characters,1,13,Richard Lockridge,1898,1982,writer
tt28158482,Surprise,Surprise,1952,26,"Comedy,Drama,Mystery",6.2,21,9,writer,characters,1,9,Richard Lockridge,1898,1982,writer
tt24681229,These Latins,These Latins,1952,26,"Comedy,Drama,Mystery",5.8,26,7,writer,characters,1,5,Richard Lockridge,1898,1982,writer
tt95660151,Till Death Do Us Part,Till Death Do Us Part,1952,26,"Comedy,Drama,Mystery",7.0,42,7,writer,characters,1,2,Richard Lockridge,1898,1982,writer
tt91763464,Weekend Murder,Weekend Murder,1952,26,"Comedy,Drama,Mystery",6.9,61,7,writer,based on the original characters created by,1,1,Richard Lockridge,1898,1982,writer
tt18605655,Where Theres a Will,Where Theres a Will,1952,26,"Comedy,Drama,Mystery",7.1,24,8,writer,characters,1,11,Richard Lockridge,1898,1982,writer
tt50872443,A Good Buy,A Good Buy,1952,26,"Comedy,Drama,Mystery",7.0,31,8,writer,characters,1,3,Richard Lockridge,1898,1982,writer
tt75467940,The Nobles,The Nobles,1952,26,"Comedy,Drama,Mystery",6.9,19,8,writer,characters,1,12,Richard Lockridge,1898,1982,writer
tt89054032,ComicStrip Tease,ComicStrip Tease,1952,26,"Comedy,Drama,Mystery",7.2,24,7,writer,written by,1,10,George Oppenheimer,1900,1977,"writer,soundtrack"
tt74728998,Silent Butler,Silent Butler,1952,26,"Comedy,Drama,Mystery",6.4,25,6,writer,written by,1,13,George Oppenheimer,1900,1977,"writer,soundtrack"
tt67924744,Surprise,Surprise,1952,26,"Comedy,Drama,Mystery",6.2,21,7,writer,written by,1,9,George Oppenheimer,1900,1977,"writer,soundtrack"
tt12290766,The Soft Touch,The Soft Touch,1952,30,"Crime,Drama",7.6,9,6,writer,teleplay,2,35,Charles Belden,1904,1954,"writer,script_department"
