tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt85493034,Julius Caesar,Julius Caesar,1955,60,Drama,6.2,17,7,writer,adaptation,7,46,Leo Penn,1921,1998,"director,actor,writer"
tt23382114,Park the Body,Park the Body,1959,26,"Action,Crime,Drama",7.5,14,8,cinematographer,director of photography,2,13,John F. Warren,1909,2000,"cinematographer,camera_department"
tt47169685,Swing Low Sweet Harriet,Swing Low Sweet Harriet,1959,30,"Action,Crime,Drama",7.7,13,8,cinematographer,director of photography,2,16,John F. Warren,1909,2000,"cinematographer,camera_department"
tt92646193,When I Am Dead My Darling,When I Am Dead My Darling,1959,26,"Action,Crime,Drama",7.2,13,8,cinematographer,director of photography,2,15,John F. Warren,1909,2000,"cinematographer,camera_department"
tt74272249,Back to Glory,Back to Glory,1959,30,Western,7.1,24,7,writer,created by,1,3,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt87272661,Focus of Doom,Focus of Doom,1959,30,Western,7.1,20,8,writer,created by,1,9,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt70711998,Land Greed,Land Greed,1959,30,Western,7.7,23,8,writer,created by,1,13,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt42841434,Like Father ,Like Father ,1959,30,Western,7.3,22,7,writer,created by,1,6,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt37575642,Man of Peace,Man of Peace,1959,30,Western,8.1,19,7,writer,story by,1,14,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt16282723,Powder Keg,Powder Keg,1959,30,Western,7.7,26,8,writer,created by,1,5,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt86091065,Proof of Guilt,Proof of Guilt,1959,30,Western,7.1,27,7,writer,created by,1,7,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt74844994,Shadow of the Noose,Shadow of the Noose,1959,30,Western,7.5,30,6,writer,written by,1,4,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt33998884,The Big Four,The Big Four,1959,30,Western,7.5,24,8,writer,created by,1,10,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt12170407,The Deal,The Deal,1959,30,Western,7.4,15,8,writer,created by,1,12,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt16774819,Badge for a Day,Badge for a Day,1959,30,Western,7.3,33,6,writer,written by,1,1,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt66230719,The Johnny Shanks Story,The Johnny Shanks Story,1959,30,Western,7.3,23,7,writer,created by,1,8,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt33911110,The Next Bullet,The Next Bullet,1959,30,Western,7.4,17,8,writer,created by,1,11,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt97142633,The Orphans,The Orphans,1959,30,Western,7.4,17,8,writer,created by,1,15,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt45274202,The Wild Wind,The Wild Wind,1959,30,Western,6.8,28,7,writer,created by,1,2,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt75936638,Shadow Bomb,Shadow Bomb,1959,25,"Drama,Sci-Fi,Thriller",7.0,29,6,writer,story,2,12,Brian Clemens,1931,2015,"writer,producer,miscellaneous"
tt85939549,The Big Plot,The Big Plot,1959,25,"Drama,Sci-Fi,Thriller",6.6,30,6,writer,story,2,13,Brian Clemens,1931,2015,"writer,producer,miscellaneous"
tt37478788,Worse Than Murder,Worse Than Murder,1960,60,"Crime,Drama,Horror",6.8,214,10,cinematographer,director of photography,1,3,John F. Warren,1909,2000,"cinematographer,camera_department"
tt55808389,The Bad Spell,The Bad Spell,1960,30,"Crime,Drama",7.4,10,10,cinematographer,director of photography,1,58,John F. Warren,1909,2000,"cinematographer,camera_department"
tt17173636,A Time to Sow,A Time to Sow,1960,30,Western,7.7,15,8,writer,created by,1,30,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt28335127,Backfire,Backfire,1960,30,Western,8.0,22,7,writer,created by,1,16,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt82403551,Bitter Root,Bitter Root,1960,30,Western,8.1,19,8,writer,created by,2,6,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt75449042,Dark Reward,Dark Reward,1960,30,Western,7.8,18,8,writer,created by,1,27,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
tt17218259,Day of Fear,Day of Fear,1960,30,Western,7.6,14,7,writer,created by,2,12,Roland Kibbee,1914,1984,"writer,producer,miscellaneous"
