tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt39131021,The Storm,The Storm,1948,60,Drama,5.5,13,6,writer,story,1,1,McNight Malmar,1903,1985,writer
tt71784400,Mary Poppins,Mary Poppins,1949,60,Drama,7.5,11,8,writer,books,2,15,P.L. Travers,1899,1996,"writer,miscellaneous"
tt19391050,Two Sharp Knives,Two Sharp Knives,1949,59,Drama,6.6,96,7,writer,adapted by,2,10,Carl Bixby,1895,1978,writer
tt73068353,The Storm,The Storm,1949,60,Drama,6.5,28,6,writer,by,2,6,McNight Malmar,1903,1985,writer
tt58562764,Collectors Item,Collectors Item,1949,30,"Drama,Mystery,Thriller",5.6,31,6,writer,teleplay,2,2,Turner Bullock,1909,1959,writer
tt79619877,The Comic Strip Murder,The Comic Strip Murder,1949,30,"Drama,Mystery,Thriller",6.4,44,6,writer,adapted by,2,4,Turner Bullock,1909,1959,writer
tt93149688,Collectors Item,Collectors Item,1949,30,"Drama,Mystery,Thriller",5.6,31,7,writer,teleplay,2,2,Doris Frankel,1909,1994,writer
tt34319803,Suspicion,Suspicion,1949,30,"Drama,Mystery,Thriller",6.7,46,7,writer,story,2,10,Billy Rose,1899,1966,"soundtrack,writer,music_department"
tt81301813,The Murderer,The Murderer,1949,30,"Drama,Mystery,Thriller",6.4,26,8,writer,from a story by,2,8,Joel Townsley Rogers,1896,1984,writer
tt32723558,Problem Party,Problem Party,1950,30,Comedy,7.8,11,6,writer,teleplay,1,10,Arthur Hoerl,1891,1968,"writer,director,script_department"
tt60455403,Closeup,Closeup,1950,30,"Drama,Romance",7.1,10,8,cinematographer,director of photography,1,35,Clyde De Vinna,1890,1953,"cinematographer,camera_department,writer"
tt26255117,Papa Romani,Papa Romani,1950,30,"Drama,Romance",5.6,8,8,cinematographer,director of photography,1,15,Clyde De Vinna,1890,1953,"cinematographer,camera_department,writer"
tt98689261,Papa Romani,Papa Romani,1950,30,"Drama,Romance",5.6,8,7,writer,teleplay,1,15,William Whitman,1925,1974,"actor,writer"
tt98602982,Away from It All,Away from It All,1950,60,Drama,6.8,13,6,writer,by,3,5,Val Gielgud,1900,1981,"writer,producer,actor"
tt95727375,The Rockingham Tea Set,The Rockingham Tea Set,1950,60,Drama,5.7,43,7,writer,adaptation,2,20,Matt Harlib,1925,1994,"director,writer,producer"
tt57602323,Spectre of Alexander Wolff,Spectre of Alexander Wolff,1950,60,Drama,6.2,10,6,writer,story,3,7,Gaito Gazdanov,1903,1971,writer
tt77763720,The Road to Jericho,The Road to Jericho,1950,60,Drama,7.4,10,6,writer,story,3,9,Elmer Davis,1890,1958,"writer,actor"
tt58034868,The Willow Cabin,The Willow Cabin,1950,60,Drama,5.1,30,6,writer,story,2,25,Pamela Frankau,1908,1967,writer
tt24979374,There Was a Crooked Man,There Was a Crooked Man,1950,56,Drama,5.5,65,6,writer,by,2,41,Kelley Roos,1912,1982,writer
tt45839362,My Old Mans Badge,My Old Mans Badge,1950,30,"Drama,Mystery,Thriller",5.3,47,7,writer,from a story by,2,29,Ferguson Findley,1910,1974,writer
tt75372147,Wisteria Cottage,Wisteria Cottage,1950,30,"Drama,Mystery,Thriller",6.8,36,7,writer,from a novel by,2,42,Robert M. Coates,1897,1973,writer
tt87790570,Barbecue,Barbecue,1951,30,Comedy,6.4,7,6,writer,screenplay,1,41,Arthur Hoerl,1891,1968,"writer,director,script_department"
tt43107582,Mr Mummerys Suspicion,Mr Mummerys Suspicion,1951,60,Drama,7.3,15,9,producer,producer,3,54,Montgomery Ford,1911,1995,"producer,writer"
tt88082569,The Rabbit,The Rabbit,1951,60,Drama,6.7,10,9,producer,producer,3,51,Montgomery Ford,1911,1995,"producer,writer"
tt74349250,The Case of Karen Smith,The Case of Karen Smith,1951,60,Drama,4.7,13,8,writer,story,3,31,Viola Brothers Shore,1890,1970,writer
tt46377968,Test Flight,Test Flight,1951,23,"Drama,Horror,Mystery",6.6,85,6,writer,story,1,10,Nelson Bond,1908,2006,writer
tt63310206,Wintertime,Wintertime,1951,60,Drama,6.8,17,6,writer,story,3,32,Jan Valtin,1905,1951,writer
tt38822451,Frisco Payoff,Frisco Payoff,1951,30,"Drama,Mystery,Thriller",5.6,27,7,writer,written by,4,10,Mac Shoub,1919,2000,"writer,actor"
tt15712234,Go Home Dead Man,Go Home Dead Man,1951,30,"Drama,Mystery,Thriller",6.4,28,6,writer,from a story by,3,32,Kem Bennett,1919,1986,writer
tt22049152,The FarOff House,The FarOff House,1951,30,"Drama,Mystery,Thriller",6.6,32,6,writer,by,4,12,Murray Leinster,1896,1975,writer
tt82793665,Wisteria Cottage,Wisteria Cottage,1951,30,"Drama,Mystery,Thriller",6.7,36,6,writer,novel,3,47,Robert M. Coates,1897,1973,writer
tt35452529,Blunder,Blunder,1951,27,"Drama,Horror,Mystery",5.8,103,6,writer,teleplay,1,2,Charles O'Neil,1909,1997,writer
tt83280082,The Invader,The Invader,1951,30,"Drama,Horror,Mystery",5.5,71,6,writer,by,1,14,Robert Foshko,1930,2015,"producer,writer,production_manager"
tt82759954,The Last Man on Earth,The Last Man on Earth,1951,30,"Drama,Horror,Mystery",4.8,9,6,writer,teleplay,1,5,Reginald Lawrence,1900,1967,writer
tt51546256,The Desert Fugitive,The Desert Fugitive,1952,30,"Family,Western",7.0,21,6,writer,story,1,8,Albert DeMond,1901,1973,"writer,producer,director"
tt98978541,The Ministers Son,The Ministers Son,1952,30,"Family,Western",6.3,19,6,writer,story,1,12,Albert DeMond,1901,1973,"writer,producer,director"
tt97756853,The Treasure of Howling Dog Canyon,The Treasure of Howling Dog Canyon,1952,30,"Family,Western",7.1,25,6,writer,writer,1,4,Albert DeMond,1901,1973,"writer,producer,director"
tt79919769,The Miraculous Serum,The Miraculous Serum,1952,30,"Drama,Horror,Mystery",6.1,54,7,writer,from a story by,1,38,Stanley G. Weinbaum,1902,1935,writer
tt33829516,A Connecticut Yankee in King Arthurs Court,A Connecticut Yankee in King Arthurs Court,1952,60,Drama,5.6,60,10,producer,producer,4,36,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
tt38509788,Abraham Lincoln,Abraham Lincoln,1952,60,Drama,6.9,20,10,producer,producer,4,37,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
tt97968407,International Incident,International Incident,1952,60,Drama,6.3,10,10,producer,producer,4,40,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
tt34368976,Lilly the Queen of the Movies,Lilly the Queen of the Movies,1952,60,Drama,5.0,11,10,producer,producer,4,32,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
tt15494268,Little Man Big World,Little Man Big World,1952,60,Drama,7.1,12,10,producer,producer,5,4,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
tt24775989,The Kill,The Kill,1952,51,Drama,6.1,44,10,producer,producer,5,1,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
tt90087468,The Square Peg,The Square Peg,1952,60,Drama,5.6,13,10,producer,producer,5,2,Dorothy Mathews,1912,1977,"actress,producer,production_manager"
