tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt70697704,The Hanging Acrobat,The Hanging Acrobat,1950,30,"Crime,Drama,Mystery",4.4,25,7,writer,concept,1,10,Frederic Dannay,1905,1982,writer
tt47264089,The Hanging Acrobat,The Hanging Acrobat,1950,30,"Crime,Drama,Mystery",4.4,25,8,writer,concept,1,10,Manfred Lee,1905,1971,writer
tt36752194,Dead Fall,Dead Fall,1951,30,"Drama,Mystery,Thriller",6.1,28,6,writer,from a story by,3,22,Donald Hamilton,1916,2006,writer
tt40300186,Flash Gordon and the Return of the Androids,Flash Gordon and the Return of the Androids,1954,30,"Action,Adventure,Family",4.9,28,6,writer,screenplay,1,10,Bruce Geller,1930,1978,"writer,producer,soundtrack"
tt87182778,Peter Pan,Peter Pan,1955,90,"Comedy,Drama,Family",8.0,117,6,writer,play,1,7,J.M. Barrie,1860,1937,"writer,soundtrack,miscellaneous"
tt16118526,The Search,The Search,1956,30,"Action,Crime,Drama",8.2,78,6,writer,screenplay,2,1,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt31995073,The Vigilantes Begin,The Vigilantes Begin,1957,30,Western,7.0,22,9,editor,film editor,1,1,John Woodcock,1916,2000,"editorial_department,editor"
tt41924401,Fatal Cliche,Fatal Cliche,1957,30,"Comedy,Mystery",6.2,11,6,writer,story,1,9,Bruce Geller,1930,1978,"writer,producer,soundtrack"
tt15489238,Young Gun,Young Gun,1957,30,Western,8.8,9,6,writer,story,1,9,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt52102031,Hostage Copter,Hostage Copter,1957,30,"Action,Crime,Drama",8.0,70,6,writer,screenplay,2,38,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt55094123,Safecracker,Safecracker,1957,30,"Action,Crime,Drama",7.8,66,6,writer,written by,3,4,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt59469239,The Specialists,The Specialists,1957,30,"Crime,Drama,Thriller",7.2,20,6,writer,writer,1,12,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt49280886,Resident Officer,Resident Officer,1957,30,"Action,Crime,Drama",7.8,63,6,writer,screenplay,2,19,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt37017184,Ranch Copter,Ranch Copter,1957,30,"Action,Crime,Drama",7.2,58,6,writer,screenplay,2,16,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt42822598,Officers Wife,Officers Wife,1957,30,"Action,Crime,Drama",7.7,59,6,writer,screenplay,2,27,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt11488113,Hired Killer,Hired Killer,1957,30,"Action,Crime,Drama",7.7,63,6,writer,screenplay,2,37,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt37591724,Missing Witness,Missing Witness,1957,30,Adventure,8.7,7,6,writer,story,1,16,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt15109723,Lola Montez,Lola Montez,1958,30,Western,6.4,8,9,editor,film editor,2,3,John Woodcock,1916,2000,"editorial_department,editor"
tt66489715,Mutineers from Hell,Mutineers from Hell,1958,30,Western,7.1,8,9,editor,film editor,2,2,John Woodcock,1916,2000,"editorial_department,editor"
tt64443111,The Salted Gold Mine,The Salted Gold Mine,1958,30,Western,6.9,7,9,editor,film editor,2,5,John Woodcock,1916,2000,"editorial_department,editor"
tt39727993,The Ed Church Case,The Ed Church Case,1958,30,"Action,Crime,Drama",7.4,17,7,writer,teleplay,2,6,Ed Waters,1930,2004,"writer,producer,miscellaneous"
tt46103947,Duel at Florence,Duel at Florence,1958,25,Western,7.7,81,6,writer,written by,2,5,Bruce Geller,1930,1978,"writer,producer,soundtrack"
tt38531107,The Gaucho,The Gaucho,1958,30,"Family,Western",8.1,140,6,writer,written by,1,14,Bruce Geller,1930,1978,"writer,producer,soundtrack"
tt74964562,The Lady Gambler,The Lady Gambler,1958,30,Western,8.0,33,6,writer,writer,1,33,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt19041224,Tear Gas Copter,Tear Gas Copter,1958,30,"Action,Crime,Drama",7.6,49,6,writer,written by,3,22,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt78290826,Revenge,Revenge,1958,30,"Action,Crime,Drama",7.7,28,6,writer,written by,3,21,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt91803130,Eastern Colonel,Eastern Colonel,1958,30,Western,7.4,10,6,writer,written by,1,8,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt23641749,Hostage,Hostage,1958,30,Western,7.5,12,6,writer,written by,1,7,William Driskill,1930,2006,"writer,producer,miscellaneous"
tt18484484,That Stands for Pool,That Stands for Pool,1959,25,"Comedy,Thriller",7.8,38,10,cinematographer,director of photography,1,5,Philip H. Lathrop,1912,1995,"cinematographer,camera_department,actor"
tt58481964,The Magnificent Bribe,The Magnificent Bribe,1959,25,"Comedy,Thriller",7.5,58,10,cinematographer,director of photography,1,1,Philip H. Lathrop,1912,1995,"cinematographer,camera_department,actor"
