tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt62343241,The Medium,The Medium,1948,60,Drama,4.8,37,7,writer,by,1,3,Gian Carlo Menotti,1911,2007,"writer,composer,music_department"
tt11924927,Dick Tracy meets Heels Beals,Dick Tracy meets Heels Beals,1951,24,"Crime,Drama",6.5,19,6,writer,teleplay by,2,15,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt92190402,Amahl and the Night Visitors,Amahl and the Night Visitors,1951,55,"Comedy,Drama",8.8,86,7,producer,producer,1,1,Samuel Chotzinoff,1889,1964,producer
tt78278871,Mad About Money,Mad About Money,1952,30,Western,7.6,13,6,writer,original screenplay,3,11,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt43032636,Mr Lincoln Part 1,Mr Lincoln Part 1,1952,90,"Drama,History,Music",8.2,36,9,writer,opera,1,2,Gian Carlo Menotti,1911,2007,"writer,composer,music_department"
tt85369950,Captured Congressman,Captured Congressman,1953,30,Drama,8.8,6,6,writer,writer,1,12,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt51971926,Reckless Driving,Reckless Driving,1955,26,"Action,Crime,Drama",7.4,88,6,writer,screenplay,1,3,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt75675596,Phony Insurance,Phony Insurance,1955,30,"Action,Crime,Drama",7.3,66,6,writer,screenplay,1,12,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt53713319,Amahl and the Night Visitors,Amahl and the Night Visitors,1955,46,Drama,8.8,13,6,writer,libretto,1,6,Gian Carlo Menotti,1911,2007,"writer,composer,music_department"
tt22420114,Amahl and the Night Visitors,Amahl and the Night Visitors,1955,46,Drama,8.8,13,7,producer,producer,1,6,Samuel Chotzinoff,1889,1964,producer
tt37755997,The True Confessions of Henry Pell,The True Confessions of Henry Pell,1955,30,Drama,6.6,17,7,writer,story,1,22,John Cheever,1912,1982,"writer,actor"
tt93897494,Mountain Fortress,Mountain Fortress,1955,60,Western,7.8,173,8,writer,screenplay,1,1,Winston Miller,1910,1994,"producer,writer,actor"
