tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt84246784,The Crystal Egg,The Crystal Egg,1951,30,"Drama,Horror,Mystery",6.3,130,6,writer,by,1,9,H.G. Wells,1866,1946,"writer,actor"
tt95827900,The Bet,The Bet,1953,30,"Comedy,Drama,Music",6.8,8,7,writer,story,1,25,Anton Chekhov,1860,1904,"writer,soundtrack,actor"
tt46948761,Reformed Criminal,Reformed Criminal,1955,30,"Action,Crime,Drama",7.9,69,6,writer,screenplay,1,9,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt62838951,Human Bomb,Human Bomb,1955,30,"Action,Crime,Drama",8.2,71,6,writer,screenplay,1,22,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt58263552,A Promise to Murder,A Promise to Murder,1955,60,Drama,7.5,18,6,writer,story,2,10,Oscar Wilde,1854,1900,"writer,soundtrack,miscellaneous"
tt33787596,Premonition,Premonition,1955,30,"Comedy,Crime,Drama",7.4,1530,6,writer,teleplay,1,2,Harold Swanton,1915,1997,"writer,miscellaneous"
tt42187525,The Long Shot,The Long Shot,1955,30,"Comedy,Crime,Drama",7.7,1054,6,writer,teleplay,1,9,Harold Swanton,1915,1997,"writer,miscellaneous"
tt95959877,The First Year,The First Year,1955,30,Mystery,7.9,9,6,writer,story,1,33,Harold Swanton,1915,1997,"writer,miscellaneous"
tt96796524,Double Reverse,Double Reverse,1956,30,Drama,7.6,7,6,writer,screenplay by,1,13,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt45270709,Man of Action,Man of Action,1956,30,Drama,8.6,7,6,writer,screenplay by,1,10,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt34900880,The Operator and the Martinet,The Operator and the Martinet,1956,30,Drama,7.0,7,6,writer,screenplay by,1,2,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt60439124,Prospector,Prospector,1956,30,"Action,Crime,Drama",7.4,60,6,writer,screenplay,1,38,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt59890321,Oil Lease,Oil Lease,1956,30,"Action,Crime,Drama",7.6,56,6,writer,screenplay,2,9,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt94836764,Mental Patient,Mental Patient,1956,30,"Action,Crime,Drama",8.0,72,6,writer,screenplay,1,28,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt55169339,Back for Christmas,Back for Christmas,1956,30,"Comedy,Crime,Drama",7.6,989,6,writer,story,1,23,John Collier,1901,1980,writer
tt60022305,De Mortuis,De Mortuis,1956,25,"Comedy,Crime,Drama",7.3,651,7,writer,story,2,3,John Collier,1901,1980,writer
tt72649879,None Are So Blind,None Are So Blind,1956,26,"Comedy,Crime,Drama",7.0,608,7,writer,story,2,5,John Collier,1901,1980,writer
tt56261620,Wet Saturday,Wet Saturday,1956,26,"Comedy,Crime,Drama",6.4,819,6,writer,story,2,1,John Collier,1901,1980,writer
