tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt49552134,Bad Medicine,Bad Medicine,1950,23,Western,7.9,44,7,writer,original screenplay,2,13,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt42426495,Double Jeopardy,Double Jeopardy,1950,30,Western,7.9,49,7,writer,original screenplay,1,52,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt76288374,The Star Witness,The Star Witness,1950,30,Western,8.0,47,7,writer,original screenplay,1,49,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt42501546,Thieves Money,Thieves Money,1950,23,Western,8.1,43,6,writer,original screenplay,2,8,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt47681346,The Brush Off,The Brush Off,1950,30,"Drama,Mystery,Thriller",6.1,39,7,writer,adaptation,3,12,Sig Herzig,1897,1985,"writer,director,miscellaneous"
tt20261588,Letter of the Law,Letter of the Law,1951,26,Western,8.1,40,7,writer,screenplay,2,17,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt13543142,All the Time in the World,All the Time in the World,1952,30,"Drama,Horror,Mystery",7.9,91,6,writer,writer,1,37,Arthur C. Clarke,1917,2008,"writer,actor,art_department"
tt92302633,Delayed Action,Delayed Action,1952,30,Western,8.3,34,7,writer,original teleplay,3,9,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt15321798,The Condemned Man,The Condemned Man,1952,30,Western,7.6,32,7,writer,teleplay,3,14,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt52628034,Word of Honor,Word of Honor,1952,30,Western,7.4,31,7,writer,teleplay,3,12,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt82692947,The Giant Eagle,The Giant Eagle,1952,27,"Adventure,Family,Western",7.0,7,6,writer,original teleplay,1,15,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt60457224,The Crooked Frame,The Crooked Frame,1952,30,"Drama,Mystery,Thriller",6.1,26,7,writer,story,4,43,William P. McGivern,1918,1982,writer
tt11809566,The Janitor Takes Time Off,The Janitor Takes Time Off,1952,30,Comedy,7.0,10,6,writer,creator,1,4,David Swift,1919,2001,"writer,director,producer"
tt11187898,Helen the Cow,Helen the Cow,1952,30,Comedy,6.5,9,6,writer,creator,1,6,David Swift,1919,2001,"writer,director,producer"
tt24267559,The New Job,The New Job,1952,30,Comedy,7.1,9,6,writer,creator,2,1,David Swift,1919,2001,"writer,director,producer"
tt34371981,Meet the Parents,Meet the Parents,1952,30,Comedy,7.1,10,6,writer,creator,2,2,David Swift,1919,2001,"writer,director,producer"
tt14517740,The Job Offer,The Job Offer,1952,30,Comedy,6.5,9,6,writer,creator,1,7,David Swift,1919,2001,"writer,director,producer"
tt39769748,The School Dance,The School Dance,1952,30,Comedy,6.9,11,6,writer,creator,1,8,David Swift,1919,2001,"writer,director,producer"
tt52922049,The Delinquent,The Delinquent,1952,30,Comedy,5.8,7,6,writer,creator,1,9,David Swift,1919,2001,"writer,director,producer"
tt75828550,The Rare Birds,The Rare Birds,1952,30,Comedy,6.6,6,6,writer,creator,2,4,David Swift,1919,2001,"writer,director,producer"
tt44877811,The DriveIn Movie,The DriveIn Movie,1952,30,Comedy,7.1,9,6,writer,creator,2,6,David Swift,1919,2001,"writer,director,producer"
tt29667922,The Teenage Crush,The Teenage Crush,1952,30,Comedy,6.6,6,6,writer,creator,2,7,David Swift,1919,2001,"writer,director,producer"
tt17984336,Sis Peepers Visits,Sis Peepers Visits,1952,30,Comedy,7.3,7,6,writer,creator,2,8,David Swift,1919,2001,"writer,director,producer"
tt37399083,Christmas,Christmas,1953,30,Comedy,6.4,10,10,cinematographer,director of photography,1,12,Lester Shorr,1907,1992,"cinematographer,camera_department"
tt12032132,Hidden Fortune,Hidden Fortune,1953,23,Western,7.7,37,7,writer,original teleplay,3,41,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt26138841,The Devils Bog,The Devils Bog,1953,23,Western,7.3,29,7,writer,teleplay,3,22,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt33022223,The Durango Kid,The Durango Kid,1953,23,Western,7.9,31,7,writer,original teleplay,3,32,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt39072310,The Midnight Rider,The Midnight Rider,1953,30,Western,8.1,30,7,writer,teleplay,3,45,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt33445444,Trouble in Town,Trouble in Town,1953,23,Western,7.5,26,7,writer,original teleplay,3,30,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt17790561,Hotel Irritant,Hotel Irritant,1953,30,Drama,6.6,17,6,writer,writer,1,15,Richard Morris,1924,1996,"writer,director,actor"
tt52774482,Kid Stuff,Kid Stuff,1953,30,Drama,6.7,16,7,writer,writer,1,8,Richard Morris,1924,1996,"writer,director,actor"
tt23757269,Love Story,Love Story,1953,30,Drama,6.2,19,7,writer,writer,1,11,Richard Morris,1924,1996,"writer,director,actor"
tt40582762,The Night My Father Came Home,The Night My Father Came Home,1953,30,Drama,7.1,19,7,writer,writer,1,14,Richard Morris,1924,1996,"writer,director,actor"
tt17852943,Prisoner at One OClock,Prisoner at One OClock,1953,30,Drama,7.1,20,7,producer,producer,1,3,Tom Lewis,1901,1988,"producer,writer"
tt57762129,The Mirror,The Mirror,1953,30,Drama,7.2,21,8,producer,producer,1,2,Tom Lewis,1901,1988,"producer,writer"
tt43060586,Trial Run,Trial Run,1953,30,Drama,7.0,30,10,producer,producer,1,1,Tom Lewis,1901,1988,"producer,writer"
tt23038341,Revenge,Revenge,1953,30,"Crime,Drama",7.3,6,7,writer,writer,2,15,Howard Dimsdale,1914,1991,"writer,miscellaneous,script_department"
tt14914357,The Gunman,The Gunman,1953,30,"Crime,Drama",7.7,10,7,writer,writer,2,13,Howard Dimsdale,1914,1991,"writer,miscellaneous,script_department"
tt82885733,The Old Student,The Old Student,1953,30,Comedy,6.6,6,6,writer,creator,2,12,David Swift,1919,2001,"writer,director,producer"
tt20108493,Tenderfoot,Tenderfoot,1954,23,Western,8.5,41,7,writer,teleplay,4,12,Curtis Kenyon,1912,2003,"writer,miscellaneous,script_department"
tt83481890,A Family Out of Us,A Family Out of Us,1954,30,Drama,7.7,14,6,writer,writer,1,21,Richard Morris,1924,1996,"writer,director,actor"
tt26581043,Act of Faith,Act of Faith,1954,30,Drama,7.7,14,7,writer,writer,1,22,Richard Morris,1924,1996,"writer,director,actor"
tt89568648,Big Little Lie,Big Little Lie,1954,30,Drama,6.9,13,7,writer,writer,1,19,Richard Morris,1924,1996,"writer,director,actor"
tt40381381,Nobodys Boy,Nobodys Boy,1954,30,Drama,8.4,13,6,writer,writer,1,24,Richard Morris,1924,1996,"writer,director,actor"
tt18109360,Big Jim,Big Jim,1954,30,Drama,6.8,15,7,producer,producer,2,14,Tom Lewis,1901,1988,"producer,writer"
tt86224379,A Family Out of Us,A Family Out of Us,1954,30,Drama,7.7,14,7,producer,producer,1,21,Tom Lewis,1901,1988,"producer,writer"
tt37232123,Segment,Segment,1954,30,"Comedy,Drama,Music",8.3,9,7,writer,television play,3,3,David Swift,1919,2001,"writer,director,producer"
tt47762303,Go Ahead and Jump,Go Ahead and Jump,1954,30,"Comedy,Crime,Drama",8.0,28,6,writer,story,3,14,Charles Einstein,1926,2007,"writer,actor"
tt93554529,Midnight Haul,Midnight Haul,1954,30,"Comedy,Drama",8.4,8,8,producer,producer,4,10,William Self,1921,2010,"production_manager,producer,actor"
tt40341587,The Black Mate,The Black Mate,1954,30,"Comedy,Drama",7.5,7,8,producer,producer,3,42,William Self,1921,2010,"production_manager,producer,actor"
tt35567956,The Long Trail,The Long Trail,1954,30,"Comedy,Drama",8.0,8,8,producer,producer,4,11,William Self,1921,2010,"production_manager,producer,actor"
tt88725945,Delay at Fort Bess,Delay at Fort Bess,1954,30,"Comedy,Drama",6.4,6,8,cinematographer,director of photography,3,53,George T. Clemens,1902,1992,"cinematographer,camera_department,miscellaneous"
tt50518062,Little War at San Dede,Little War at San Dede,1954,30,"Comedy,Drama",7.3,8,7,cinematographer,director of photography,3,39,George T. Clemens,1902,1992,"cinematographer,camera_department,miscellaneous"
tt11210691,Midnight Haul,Midnight Haul,1954,30,"Comedy,Drama",8.4,8,10,cinematographer,director of photography,4,10,George T. Clemens,1902,1992,"cinematographer,camera_department,miscellaneous"
tt45654501,The Black Mate,The Black Mate,1954,30,"Comedy,Drama",7.5,7,10,cinematographer,director of photography,3,42,George T. Clemens,1902,1992,"cinematographer,camera_department,miscellaneous"
tt57791316,The Generals Boots,The Generals Boots,1954,30,"Comedy,Drama",7.7,13,8,cinematographer,director of photography,3,47,George T. Clemens,1902,1992,"cinematographer,camera_department,miscellaneous"
tt28310391,The Long Trail,The Long Trail,1954,30,"Comedy,Drama",8.0,8,10,cinematographer,director of photography,4,11,George T. Clemens,1902,1992,"cinematographer,camera_department,miscellaneous"
tt46262444,Salvage,Salvage,1955,30,"Comedy,Crime,Drama",7.1,1140,8,cinematographer,director of photography,1,6,Lester Shorr,1907,1992,"cinematographer,camera_department"
tt76319852,The Case of the Deadly Dilemma,The Case of the Deadly Dilemma,1955,27,"Crime,Drama",7.3,11,8,cinematographer,director of photography,5,25,Lester Shorr,1907,1992,"cinematographer,camera_department"
