tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt36885238,Fine Feathered Friend,Fine Feathered Friend,1942,55,"Adventure,Animation,Comedy",8.5,81,4,writer,story,1,8,Carl Meyer,1894,1972,"writer,actor,animation_department"
tt45340738,Sufferin Cats,Sufferin Cats,1943,55,"Adventure,Animation,Comedy",8.5,76,4,writer,story,1,9,Carl Meyer,1894,1972,"writer,actor,animation_department"
tt85645108,The Hanging Acrobat,The Hanging Acrobat,1950,30,"Crime,Drama,Mystery",4.4,25,10,producer,producer,1,10,Norman Pincus,1906,1978,"producer,production_manager"
tt88397356,Death Spins a Wheel,Death Spins a Wheel,1951,25,"Crime,Drama,Mystery",7.2,6,9,producer,producer,1,29,Norman Pincus,1906,1978,"producer,production_manager"
tt67846947,The Motorcycle Kid,The Motorcycle Kid,1953,26,"Crime,Drama",6.1,7,8,writer,original story,2,25,Harry D. Kerr,1880,1957,"soundtrack,writer"
tt15288108,Washington Story,Washington Story,1953,30,"Action,Crime,Drama",6.0,9,6,writer,written by,4,36,Burton Benjamin,1917,1988,"producer,writer,director"
tt84182567,Army Infiltration,Army Infiltration,1953,30,Drama,8.0,6,7,writer,"book ""I Led Three Lives""",1,7,Herbert A. Philbrick,1915,1993,"writer,actor"
tt49509899,Baited Trap,Baited Trap,1953,30,Drama,8.8,6,7,writer,"book ""I Led Three Lives""",1,4,Herbert A. Philbrick,1915,1993,"writer,actor"
tt63205302,Communist Cop,Communist Cop,1953,30,Drama,8.2,6,7,writer,"book ""I Led Three Lives""",1,16,Herbert A. Philbrick,1915,1993,"writer,actor"
tt46622743,Parcels for Poland,Parcels for Poland,1953,30,Drama,8.4,6,8,writer,"book ""I Led Three Lives""",1,11,Herbert A. Philbrick,1915,1993,"writer,actor"
tt33196429,Purloined Printing Press,Purloined Printing Press,1953,30,Drama,7.8,6,7,writer,"book ""I Led Three Lives""",1,13,Herbert A. Philbrick,1915,1993,"writer,actor"
tt57816516,Captured Congressman,Captured Congressman,1953,30,Drama,8.8,6,8,writer,"book ""I Led Three Lives""",1,12,Herbert A. Philbrick,1915,1993,"writer,actor"
tt43487443,Gun Running,Gun Running,1953,30,Drama,7.8,6,7,writer,"book ""I Led Three Lives""",1,18,Herbert A. Philbrick,1915,1993,"writer,actor"
tt84074098,Campus Story,Campus Story,1953,30,Drama,8.3,7,7,writer,"book ""I Led Three Lives""",1,6,Herbert A. Philbrick,1915,1993,"writer,actor"
tt53522300,Dope Photographic,Dope Photographic,1953,30,Drama,8.6,6,7,writer,"book ""I Led Three Lives""",1,3,Herbert A. Philbrick,1915,1993,"writer,actor"
tt24389464,The Jet Engine,The Jet Engine,1953,30,Drama,8.2,6,7,writer,"book ""I Led Three Lives""",1,9,Herbert A. Philbrick,1915,1993,"writer,actor"
tt90407685,The Spy,The Spy,1953,30,Drama,8.3,10,7,writer,"book ""I Led Three Lives""",1,8,Herbert A. Philbrick,1915,1993,"writer,actor"
tt44831324,Youth Movement,Youth Movement,1953,30,Drama,8.0,6,7,writer,"book ""I Led Three Lives""",1,20,Herbert A. Philbrick,1915,1993,"writer,actor"
tt27165876,Pilot,Pilot,1953,30,Drama,8.9,10,7,writer,"book ""I Led Three Lives""",1,1,Herbert A. Philbrick,1915,1993,"writer,actor"
tt63096894,Disc Jockey,Disc Jockey,1954,30,Comedy,5.6,10,10,producer,producer,1,3,Joseph Santley,1889,1971,"director,producer,writer"
tt78851223,Double Trouble,Double Trouble,1954,24,Comedy,5.6,6,10,producer,producer,1,4,Joseph Santley,1889,1971,"director,producer,writer"
tt23007469,The Bronc Buster,The Bronc Buster,1954,26,Comedy,5.6,7,10,producer,producer,1,9,Joseph Santley,1889,1971,"director,producer,writer"
tt61120146,The Moon or Bust,The Moon or Bust,1954,26,Comedy,6.1,11,10,producer,producer,1,2,Joseph Santley,1889,1971,"director,producer,writer"
tt64269557,The Seance,The Seance,1954,25,Comedy,5.6,6,10,producer,producer,1,14,Joseph Santley,1889,1971,"director,producer,writer"
tt37500201,The Lion Hunt,The Lion Hunt,1954,30,Comedy,5.0,6,10,producer,producer,1,8,Joseph Santley,1889,1971,"director,producer,writer"
tt84254409,Tiger Mulligan,Tiger Mulligan,1954,26,Comedy,5.6,6,10,producer,producer,1,10,Joseph Santley,1889,1971,"director,producer,writer"
tt60658785,The Other Woman,The Other Woman,1954,26,Comedy,6.0,8,10,producer,producer,1,11,Joseph Santley,1889,1971,"director,producer,writer"
tt86642910,Diamond in the Rough,Diamond in the Rough,1954,26,Comedy,5.4,7,10,producer,producer,1,12,Joseph Santley,1889,1971,"director,producer,writer"
tt30030579,Caviar,Caviar,1954,30,Drama,8.8,6,7,writer,"book ""I Led Three Lives""",1,22,Herbert A. Philbrick,1915,1993,"writer,actor"
tt13593234,The Lady and the Lion,The Lady and the Lion,1955,30,Adventure,6.5,7,7,writer,story,1,27,Otis Adelbert Kline,1891,1946,writer
tt18827992,Scoop Mulligan,Scoop Mulligan,1955,30,Comedy,5.9,9,10,producer,producer,1,18,Joseph Santley,1889,1971,"director,producer,writer"
tt66182438,Radioactive,Radioactive,1956,30,Drama,8.3,8,6,writer,"book ""I Led Three Lives""",3,28,Herbert A. Philbrick,1915,1993,"writer,actor"
tt54151388,Small Cargo,Small Cargo,1958,27,"Adventure,Drama",6.0,6,7,writer,teleplay,1,3,Marcy Klauber,1896,1960,"writer,soundtrack,music_department"
tt61393643,Detour to Death,Detour to Death,1959,30,"Action,Crime,Drama",7.9,47,6,writer,written by,4,37,Joel Riordan,1923,1982,"actor,writer"
tt97207899,24 Hours a Day,24 Hours a Day,1959,30,Crime,6.4,19,6,writer,writer,1,19,Edward J. Mason,1912,1971,"writer,soundtrack,actor"
tt62763807,Living Loot,Living Loot,1959,30,Crime,7.0,11,6,writer,writer,1,32,Edward J. Mason,1912,1971,"writer,soundtrack,actor"
tt80293561,Night Mail,Night Mail,1959,30,Crime,7.2,17,6,writer,writer,1,10,Jack Pulman,1925,1979,writer
tt33469226,Rat Trap,Rat Trap,1959,30,Crime,7.3,12,6,writer,written by,1,35,Frank White,1913,1995,"art_director,production_designer,art_department"
tt96233605,The Space Varmint,The Space Varmint,1960,6,"Animation,Comedy,Family",5.2,7,4,writer,story supervisor,1,2,Tom Morrison,1908,1978,"writer,miscellaneous,actor"
tt17963257,Kin Folk,Kin Folk,1960,6,"Animation,Comedy,Family",5.2,5,3,writer,story supervisor,1,16,Tom Morrison,1908,1978,"writer,miscellaneous,actor"
tt27350080,The Bat,The Bat,1960,54,Mystery,7.1,22,6,writer,play,1,1,Avery Hopwood,1882,1928,writer
tt17760455,The Bat,The Bat,1960,54,Mystery,7.1,22,7,writer,teleplay,1,1,Walter Kerr,1913,1996,"miscellaneous,writer,actor"
tt90486388,The Bat,The Bat,1960,54,Mystery,7.1,22,8,writer,play,1,1,Mary Roberts Rinehart,1876,1958,writer
tt58623231,Childhood Daze,Childhood Daze,1960,6,"Adventure,Animation,Comedy",6.4,72,6,producer,producer,1,17,Larry Harmon,1925,2008,"producer,actor,writer"
tt71079010,College of Hard Knocks,College of Hard Knocks,1960,6,"Adventure,Animation,Comedy",7.0,63,6,producer,producer,1,10,Larry Harmon,1925,2008,"producer,actor,writer"
tt52687936,Muellers Mad Monster,Muellers Mad Monster,1960,6,"Adventure,Animation,Comedy",6.7,73,6,producer,producer,1,6,Larry Harmon,1925,2008,"producer,actor,writer"
tt77597671,Abdominal Snowman,Abdominal Snowman,1960,6,"Adventure,Animation,Comedy",7.1,55,5,producer,producer,1,11,Larry Harmon,1925,2008,"producer,actor,writer"
tt95888286,Ace of Space,Ace of Space,1960,6,"Adventure,Animation,Comedy",6.9,60,6,producer,producer,1,9,Larry Harmon,1925,2008,"producer,actor,writer"
tt56648241,Bullfighter Bully,Bullfighter Bully,1960,6,"Adventure,Animation,Comedy",6.6,58,6,producer,producer,1,8,Larry Harmon,1925,2008,"producer,actor,writer"
tt82789528,Caveman Capers,Caveman Capers,1960,6,"Adventure,Animation,Comedy",7.1,63,6,producer,producer,1,7,Larry Harmon,1925,2008,"producer,actor,writer"
tt58098842,Crystal Ball Brawl,Crystal Ball Brawl,1960,6,"Adventure,Animation,Comedy",6.8,58,6,producer,producer,1,20,Larry Harmon,1925,2008,"producer,actor,writer"
tt31054797,DeadEye Popeye,DeadEye Popeye,1960,6,"Adventure,Animation,Comedy",6.8,67,6,producer,producer,1,5,Larry Harmon,1925,2008,"producer,actor,writer"
tt19470871,FoolaFoola Bird,FoolaFoola Bird,1960,6,"Adventure,Animation,Comedy",6.9,57,6,producer,producer,1,14,Larry Harmon,1925,2008,"producer,actor,writer"
tt40023457,Hoppy Jalopy,Hoppy Jalopy,1960,6,"Adventure,Animation,Comedy",7.0,70,6,producer,producer,1,4,Larry Harmon,1925,2008,"producer,actor,writer"
tt88606518,Irate Pirate,Irate Pirate,1960,6,"Adventure,Animation,Comedy",7.0,59,6,producer,producer,1,13,Larry Harmon,1925,2008,"producer,actor,writer"
tt82405662,Muskels Schmuskels,Muskels Schmuskels,1960,6,"Adventure,Animation,Comedy",6.6,80,6,producer,producer,1,3,Larry Harmon,1925,2008,"producer,actor,writer"
tt18543642,Sheepish SheepHerder,Sheepish SheepHerder,1960,6,"Adventure,Animation,Comedy",7.0,53,5,producer,producer,1,18,Larry Harmon,1925,2008,"producer,actor,writer"
tt13742047,SkiJump Chump,SkiJump Chump,1960,6,"Adventure,Animation,Comedy",6.7,66,6,producer,producer,1,12,Larry Harmon,1925,2008,"producer,actor,writer"
tt82890991,Track Meet Cheat,Track Meet Cheat,1960,6,"Adventure,Animation,Comedy",7.0,54,6,producer,producer,1,19,Larry Harmon,1925,2008,"producer,actor,writer"
tt86919342,TwoFaced Paleface,TwoFaced Paleface,1960,6,"Adventure,Animation,Comedy",6.6,58,6,producer,producer,1,16,Larry Harmon,1925,2008,"producer,actor,writer"
tt68689417,Uranium on the Cranium,Uranium on the Cranium,1960,6,"Adventure,Animation,Comedy",6.9,55,6,producer,producer,1,15,Larry Harmon,1925,2008,"producer,actor,writer"
tt37864376,Matinee Idol Popeye,Matinee Idol Popeye,1960,6,"Adventure,Animation,Comedy",6.3,76,4,director,supervising director,1,45,Gene Deitch,1924,2020,"director,writer,editor"
tt10590937,Interrupted Lullaby,Interrupted Lullaby,1960,6,"Adventure,Animation,Comedy",7.0,57,4,director,supervising director,1,21,Gene Deitch,1924,2020,"director,writer,editor"
tt70915187,From Way Out,From Way Out,1960,6,"Adventure,Animation,Comedy",6.9,64,3,director,supervising director,1,23,Gene Deitch,1924,2020,"director,writer,editor"
tt14235601,Sea No Evil,Sea No Evil,1960,6,"Adventure,Animation,Comedy",6.4,66,3,director,supervising director,1,22,Gene Deitch,1924,2020,"director,writer,editor"
tt91697205,AstroNut,AstroNut,1960,6,"Adventure,Animation,Comedy",6.9,55,4,director,supervising director,1,30,Gene Deitch,1924,2020,"director,writer,editor"
tt29834279,Sweepea Soup,Sweepea Soup,1960,23,"Adventure,Animation,Comedy",6.9,57,3,director,supervising director,1,25,Gene Deitch,1924,2020,"director,writer,editor"
